Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,36,8,150,81,18,18
Bird1,36,9,150,81,23,23
Bird1,36,10,150,81,26,26
Bird1,36,11,150,81,29,29
Bird1,36,12,150,81,34,34
Bird1,36,13,150,81,37,37
Bird1,36,14,150,81,42,42
Bird1,36,15,150,81,47,47
Bird1,36,16,150,81,52,52
Bird1,36,17,150,81,57,57
Bird1,36,18,150,81,62,62
Bird1,36,19,150,81,65,65
Bird1,36,20,150,81,68,68
Bird1,36,21,150,81,75,75
Bird1,36,22,150,81,80,80
Bird1,36,23,150,81,85,85
Bird1,36,24,150,81,90,90
Bird1,36,25,150,81,95,95
Bird1,36,26,150,81,102,102
Bird1,36,27,150,81,109,109
Bird1,36,28,150,81,116,116
Bird1,36,29,150,81,123,123
Bird1,36,30,150,81,130,130
Bird1,36,31,150,81,137,137
Bird1,36,32,150,81,142,142
Bird1,36,33,150,81,147,147
Bird1,36,34,150,81,152,152
Bird1,36,35,150,81,159,159
Bird1,37,1,150,81,0,0
Bird1,37,2,150,81,0,0
Bird1,37,3,150,81,0,0
Bird1,37,4,150,81,0,0
Bird1,37,5,150,81,5,5
Bird1,37,6,150,81,8,8
Bird1,37,7,150,81,13,13
Bird1,37,8,150,81,18,18
Bird1,37,9,150,81,23,23
Bird1,37,10,150,81,26,26
Bird1,37,11,150,81,29,29
Bird1,37,12,150,81,34,34
Bird1,37,13,150,81,37,37
Bird1,37,14,150,81,42,42
Bird1,37,15,150,81,47,47
Bird1,37,16,150,81,52,52
Bird1,37,17,150,81,57,57
Bird1,37,18,150,81,62,62
Bird1,37,19,150,81,65,65
Bird1,37,20,150,81,68,68
Bird1,37,21,150,81,75,75
Bird1,37,22,150,81,80,80
Bird1,37,23,150,81,85,85
Bird1,37,24,150,81,90,90
Bird1,37,25,150,81,95,95
Bird1,37,26,150,81,102,102
Bird1,37,27,150,81,109,109
Bird1,37,28,150,81,116,116
Bird1,37,29,150,81,123,123
Bird1,37,30,150,81,130,130
Bird1,37,31,150,81,137,137
Bird1,37,32,150,81,142,142
Bird1,37,33,150,81,147,147
Bird1,37,34,150,81,152,152
Bird1,37,35,150,81,159,159
Bird1,37,36,150,81,166,166
Bird1,38,1,150,81,0,0
Bird1,38,2,150,81,0,0
Bird1,38,3,150,81,0,0
Bird1,38,4,150,81,0,0
Bird1,38,5,150,81,5,5
Bird1,38,6,150,81,8,8
Bird1,38,7,150,81,13,13
Bird1,38,8,150,81,18,18
Bird1,38,9,150,81,23,23
Bird1,38,10,150,81,26,26
Bird1,38,11,150,81,29,29
Bird1,38,12,150,81,34,34
Bird1,38,13,150,81,37,37
Bird1,38,14,150,81,42,42
Bird1,38,15,150,81,47,47
Bird1,38,16,150,81,52,52
Bird1,38,17,150,81,57,57
Bird1,38,18,150,81,62,62
Bird1,38,19,150,81,65,65
Bird1,38,20,150,81,68,68
Bird1,38,21,150,81,75,75
Bird1,38,22,150,81,80,80
Bird1,38,23,150,81,85,85
Bird1,38,24,150,81,90,90
Bird1,38,25,150,81,95,95
Bird1,38,26,150,81,102,102
Bird1,38,27,150,81,109,109
Bird1,38,28,150,81,116,116
Bird1,38,29,150,81,123,123
Bird1,38,30,150,81,130,130
Bird1,38,31,150,81,137,137
Bird1,38,32,150,81,142,142
Bird1,38,33,150,81,147,147
Bird1,38,34,150,81,152,152
Bird1,38,35,150,81,159,159
Bird1,38,36,150,81,166,166
Bird1,38,37,150,81,173,173
Bird1,39,1,150,81,0,0
Bird1,39,2,150,81,0,0
Bird1,39,3,150,81,0,0
Bird1,39,4,150,81,0,0
Bird1,39,5,150,81,5,5
Bird1,39,6,150,81,8,8
Bird1,39,7,150,81,13,13
Bird1,39,8,150,81,18,18
Bird1,39,9,150,81,23,23
Bird1,39,10,150,81,26,26
Bird1,39,11,150,81,29,29
Bird1,39,12,150,81,34,34
Bird1,39,13,150,81,37,37
Bird1,39,14,150,81,42,42
Bird1,39,15,150,81,47,47
Bird1,39,16,150,81,52,52
Bird1,39,17,150,81,57,57
Bird1,39,18,150,81,62,62
Bird1,39,19,150,81,65,65
Bird1,39,20,150,81,68,68
Bird1,39,21,150,81,75,75
Bird1,39,22,150,81,80,80
Bird1,39,23,150,81,85,85
Bird1,39,24,150,81,90,90
Bird1,39,25,150,81,95,95
Bird1,39,26,150,81,102,102
Bird1,39,27,150,81,109,109
Bird1,39,28,150,81,116,116
Bird1,39,29,150,81,123,123
Bird1,39,30,150,81,130,130
Bird1,39,31,150,81,137,137
Bird1,39,32,150,81,142,142
Bird1,39,33,150,81,147,147
Bird1,39,34,150,81,152,152
Bird1,39,35,150,81,159,159
Bird1,39,36,150,81,166,166
Bird1,39,37,150,81,173,173
Bird1,39,38,150,81,178,178
Bird1,40,1,150,81,0,0
Bird1,40,2,150,81,0,0
Bird1,40,3,150,81,0,0
Bird1,40,4,150,81,0,0
Bird1,40,5,150,81,5,5
Bird1,40,6,150,81,8,8
Bird1,40,7,150,81,13,13
Bird1,40,8,150,81,18,18
Bird1,40,9,150,81,23,23
Bird1,40,10,150,81,26,26
Bird1,40,11,150,81,29,29
Bird1,40,12,150,81,34,34
Bird1,40,13,150,81,37,37
Bird1,40,14,150,81,42,42
Bird1,40,15,150,81,47,47
Bird1,40,16,150,81,52,52
Bird1,40,17,150,81,57,57
Bird1,40,18,150,81,62,62
Bird1,40,19,150,81,65,65
Bird1,40,20,150,81,68,68
Bird1,40,21,150,81,75,75
Bird1,40,22,150,81,80,80
Bird1,40,23,150,81,85,85
Bird1,40,24,150,81,90,90
Bird1,40,25,150,81,95,95
Bird1,40,26,150,81,102,102
Bird1,40,27,150,81,109,109
Bird1,40,28,150,81,116,116
Bird1,40,29,150,81,123,123
Bird1,40,30,150,81,130,130
Bird1,40,31,150,81,137,137
Bird1,40,32,150,81,142,142
Bird1,40,33,150,81,147,147
Bird1,40,34,150,81,152,152
Bird1,40,35,150,81,159,159
Bird1,40,36,150,81,166,166
Bird1,40,37,150,81,173,173
Bird1,40,38,150,81,178,178
Bird1,40,39,150,81,183,183
Bird1,41,1,150,81,0,0
Bird1,41,2,150,81,0,0
Bird1,41,3,150,81,0,0
Bird1,41,4,150,81,0,0
Bird1,41,5,150,81,5,5
Bird1,41,6,150,81,8,8
Bird1,41,7,150,81,13,13
Bird1,41,8,150,81,18,18
Bird1,41,9,150,81,23,23
Bird1,41,10,150,81,26,26
Bird1,41,11,150,81,29,29
Bird1,41,12,150,81,34,34
Bird1,41,13,150,81,37,37
Bird1,41,14,150,81,42,42
Bird1,41,15,150,81,47,47
Bird1,41,16,150,81,52,52
Bird1,41,17,150,81,57,57
Bird1,41,18,150,81,62,62
Bird1,41,19,150,81,65,65
Bird1,41,20,150,81,68,68
Bird1,41,21,150,81,75,75
Bird1,41,22,150,81,80,80
Bird1,41,23,150,81,85,85
Bird1,41,24,150,81,90,90
Bird1,41,25,150,81,95,95
Bird1,41,26,150,81,102,102
